No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
43,CSCO,"Cisco Systems, Inc.",193827995648,48.26,1.17%,58034000000.0
44,TMO,Thermo Fisher Scientific Inc.,190794350592,494.1,0.06%,43421000000.0
45,SAP,SAP SE,190329831424,159.34,0.78%,33643770571.0
46,PDD,PDD Holdings Inc.,188646490112,140.29,-1.20%,27314745117.0
47,BABA,Alibaba Group Holding Limited,185085722624,72.33,1.17%,125846217331.0
48,ABT,Abbott Laboratories,182182150144,104.05,-0.85%,39959000000.0
49,TMUS,"T-Mobile US, Inc.",179728564224,156.36,0.55%,78353000000.0
50,NKE,"NIKE, Inc.",176708976640,114.81,-1.12%,51469000000.0
51,INTC,Intel Corporation,173994328064,42.15,2.13%,52864000000.0
52,CMCSA,Comcast Corporation,167805583360,42.17,1.15%,120872000000.0
53,DIS,The Walt Disney Company,167474282496,92.35,0.93%,88898000000.0
54,VZ,Verizon Communications Inc.,161626619904,38.65,0.39%,134095000000.0
55,WFC,Wells Fargo & Company,161607974912,45.4,2.02%,81779000000.0
56,DHR,Danaher Corporation,161551613952,218.92,-0.83%,29566000000.0
57,PFE,Pfizer Inc.,161092091904,28.63,-0.56%,68538000000.0
58,TTE,TotalEnergies SE,160587792384,65.51,1.03%,228133000000.0
59,HDB,HDFC Bank Limited,160093339648,63.36,1.00%,13761085158.0
60,INTU,Intuit Inc.,158508154880,571.49,0.93%,14749000000.0
61,BHP,BHP Group Limited,158273077248,62.69,2.02%,53817000000.0
62,HSBC,HSBC Holdings plc,150059712512,38.82,0.78%,61596000000.0
63,IBM,International Business Machines Corporation,146354700288,160.22,-0.04%,61169000000.0
64,QCOM,QUALCOMM Incorporated,144645472256,132.94,2.29%,35820000000.0
65,AMGN,Amgen Inc.,144150200320,271.31,0.73%,26833000000.0
66,BA,The Boeing Company,143313010688,237.33,0.19%,75756000000.0
67,UNP,Union Pacific Corporation,142018052096,231.49,-0.08%,24140000000.0
68,TXN,Texas Instruments Incorporated,141725237248,157.68,1.04%,18112000000.0
69,PM,Philip Morris International Inc.,141424541696,91.12,0.02%,57457000000.0
70,NOW,"ServiceNow, Inc.",140066930688,687.68,0.21%,8474000000.0
71,BX,Blackstone Inc.,138430709760,113.86,1.56%,8441880000.0
72,SPGI,S&P Global Inc.,132340031488,417.38,-0.31%,12282000000.0
73,UPS,"United Parcel Service, Inc.",132295581696,156.5,0.78%,93074000000.0
74,COP,Conoco Phillips,131232555008,110.85,0.30%,62529000000.0
75,GE,General Electric Company,130400002048,119.48,-0.28%,70316000000.0
76,HON,Honeywell International Inc.,130393251840,197.79,,36408000000.0
77,MS,Morgan Stanley,130336432128,80.35,1.18%,53996000000.0
78,CAT,Caterpillar Inc.,130310488064,257.41,0.56%,66587000000.0
79,RY,Royal Bank of Canada,128144498688,91.42,0.36%,40970072993.0
80,BUD,Anheuser-Busch InBev SA/NV,127930572800,62.88,0.61%,59092000000.0
81,NEE,"NextEra Energy, Inc.",123800182784,59.85,-0.58%,27401000000.0
82,UBER,"Uber Technologies, Inc.",122957135872,60.98,2.06%,35952000000.0
83,AXP,American Express Company,122072236032,168.62,0.66%,54379000000.0
84,T,AT&T Inc.,121121341440,17.09,0.89%,121749000000.0
85,AMAT,"Applied Materials, Inc.",121046466560,148.39,2.55%,26517000000.0
86,UL,Unilever PLC,120683266048,47.94,0.36%,66898901099.0
87,LOW,"Lowe's Companies, Inc.",120026087424,208.3,-0.19%,90219000000.0
88,SNY,Sanofi,119192043520,46.06,0.17%,50702197802.0
89,RTX,RTX Corp,117490810880,81.5,-1.46%,67086000000.0
90,RIO,Rio Tinto Group,115861569536,70.44,2.10%,55554000000.0
91,SCHW,The Charles Schwab Corporation,113291567104,62.96,1.29%,19875000000.0
92,ELV,Elevance Health Inc.,111872212992,476.96,-0.28%,168622000000.0
93,GS,"The Goldman Sachs Group, Inc.",111520522240,344.62,0.77%,45529000000.0
94,LMT,Lockheed Martin Corporation,111498174464,447.11,-0.51%,67688000000.0
95,BLK,"BlackRock, Inc.",110540578816,745.44,0.32%,17565000000.0
96,SBUX,Starbucks Corporation,110282637312,96.44,-0.60%,35975600000.0
97,SONY,Sony Group Corporation,110134198272,88.51,0.12%,83009059540.0
98,PLD,"Prologis, Inc.",109998751744,118.95,-0.08%,7885814000.0
99,BKNG,Booking Holdings Inc.,109903183872,3238.27,2.80%,20630000000.0
100,SYK,Stryker Corporation,109511417856,289.38,0.52%,19885000000.0
