No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
79,RY,Royal Bank of Canada,128144498688,91.42,0.36%,40970072993
80,BUD,Anheuser-Busch InBev SA/NV,127930572800,62.88,0.61%,59092000000
81,NEE,"NextEra Energy, Inc.",123800182784,59.85,-0.58%,27401000000
82,UBER,"Uber Technologies, Inc.",122957135872,60.98,2.06%,35952000000
83,AXP,American Express Company,122072236032,168.62,0.66%,54379000000
84,T,AT&T Inc.,121121341440,17.09,0.89%,121749000000
85,AMAT,"Applied Materials, Inc.",121046466560,148.39,2.55%,26517000000
86,UL,Unilever PLC,120683266048,47.94,0.36%,66898901099
87,LOW,"Lowe's Companies, Inc.",120026087424,208.30,-0.19%,90219000000
88,SNY,Sanofi,119192043520,46.06,0.17%,50702197802
89,RTX,RTX Corp,117490810880,81.50,-1.46%,67086000000
90,RIO,Rio Tinto Group,115861569536,70.44,2.10%,55554000000
91,SCHW,The Charles Schwab Corporation,113291567104,62.96,1.29%,19875000000
92,ELV,Elevance Health Inc.,111872212992,476.96,-0.28%,168622000000
93,GS,"The Goldman Sachs Group, Inc.",111520522240,344.62,0.77%,45529000000
94,LMT,Lockheed Martin Corporation,111498174464,447.11,-0.51%,67688000000
95,BLK,"BlackRock, Inc.",110540578816,745.44,0.32%,17565000000
96,SBUX,Starbucks Corporation,110282637312,96.44,-0.60%,35975600000
97,SONY,Sony Group Corporation,110134198272,88.51,0.12%,83009059540
98,PLD,"Prologis, Inc.",109998751744,118.95,-0.08%,7885814000
99,BKNG,Booking Holdings Inc.,109903183872,3238.27,2.80%,20630000000
100,SYK,Stryker Corporation,109511417856,289.38,0.52%,19885000000
101,ISRG,"Intuitive Surgical, Inc.",109233864704,311.56,0.42%,6850800000
102,TD,The Toronto-Dominion Bank,108349693952,59.35,-1.88%,36855474453
103,DE,Deere & Company,105275883520,361.22,-1.18%,60734000000
104,MDT,Medtronic plc,105095544832,79.55,0.65%,31958000000
105,MUFG,"Mitsubishi UFJ Financial Group, Inc.",104372060160,8.68,3.58%,30790694864
106,BMY,Bristol-Myers Squibb Company,101493825536,50.16,0.56%,44935000000
107,BP,BP p.l.c.,101389099008,34.69,-0.46%,230802000000
108,TJX,"The TJX Companies, Inc.",100930060288,88.89,0.37%,52326232000
109,GILD,"Gilead Sciences, Inc.",98885738496,78.05,-1.65%,27391000000
110,AMT,American Tower Corporation,98248933376,210.72,-0.02%,11062500000
111,MDLZ,"Mondelez International, Inc.",97018560512,71.61,0.45%,35397000000
112,MMC,"Marsh & McLennan Companies, Inc.",96671694848,195.45,0.01%,22204000000
113,ADP,"Automatic Data Processing, Inc.",95566716928,229.99,-0.42%,18309000000
114,CVS,CVS Health Corporation,95156994048,74.01,0.69%,347809000000
115,PGR,The Progressive Corporation,94471651328,161.71,0.14%,58687100000
116,PBR.A,Petróleo Brasileiro S.A. - Petrobras,93863886848,13.62,-0.44%,124474000000
117,PBR,Petróleo Brasileiro S.A. - Petrobras,93447004160,14.40,-0.14%,124474000000
118,SHOP,Shopify Inc.,92062171136,71.86,1.01%,6650978000
119,REGN,"Regeneron Pharmaceuticals, Inc.",91807457280,849.18,1.61%,13097300000
120,C,Citigroup Inc.,91598299136,48.50,1.34%,79028000000
121,LRCX,Lam Research Corporation,91578302464,708.03,1.89%,15836457000
122,CB,Chubb Limited,91508080640,223.13,-0.52%,48169000000
123,VRTX,Vertex Pharmaceuticals Incorporated,91080630272,353.95,0.14%,9654200000
124,EQNR,Equinor ASA,90985938944,30.35,1.91%,150806000000
125,ETN,Eaton Corporation plc,90609156096,227.93,0.45%,22613000000
126,PANW,"Palo Alto Networks, Inc.",90554163200,293.61,2.23%,7207400000
127,UBS,UBS Group AG,90453065728,28.17,1.22%,37164516129
128,ABNB,"Airbnb, Inc.",89627090944,139.84,3.35%,9600546000
129,ADI,"Analog Devices, Inc.",89610035200,184.38,2.11%,12305539000
130,KKR,KKR & Co. Inc.,86343254016,75.49,1.02%,12598176000
131,IBN,ICICI Bank Limited,83878543360,23.87,-0.54%,22649489173
132,ZTS,Zoetis Inc.,83558744064,181.83,-0.09%,8371000000
133,MU,"Micron Technology, Inc.",80715776000,73.65,0.71%,15540000000
134,BSX,Boston Scientific Corporation,80310198272,55.03,0.38%,13757000000
135,DEO,Diageo plc,80269500416,140.53,0.68%,21662025316
136,SNPS,"Synopsys, Inc.",80206430208,534.15,1.26%,5842619000
137,MELI,"MercadoLibre, Inc.",80060964864,1590.94,1.38%,13214000000
138,SO,The Southern Company,78808203264,71.65,-0.84%,26255000000
139,FI,"Fiserv, Inc.",78678376448,131.42,0.25%,18807000000
140,CME,CME Group Inc.,77128499200,210.73,-1.14%,5347400000
141,CNI,Canadian National Railway Company,76305530880,118.38,0.48%,12517777778
142,EQIX,"Equinix, Inc.",75885953024,810.11,0.22%,7948492000
143,CI,Cigna Corporation,75279368192,257.94,0.17%,189902000000
144,GSK,GSK plc,74950959104,36.00,-0.47%,35725301205
145,ITW,Illinois Tool Works Inc.,74451238912,247.57,0.28%,16095000000
146,ENB,Enbridge Inc.,74118627328,34.80,-0.20%,33907407407
147,RELX,RELX PLC,73889071104,38.96,0.41%,11497468354
148,SHW,The Sherwin-Williams Company,73388007424,291.58,1.70%,23030200000
149,MO,"Altria Group, Inc.",73151365120,41.32,-0.10%,24619000000
150,INFY,Infosys Limited,73080758272,17.64,-0.28%,18212000000
151,NOC,Northrop Grumman Corporation,72424366080,477.48,-0.59%,38685000000
152,DUK,Duke Energy Corporation,72400691200,94.46,0.55%,28831000000
153,KLAC,KLA Corporation,71855013888,541.23,2.39%,10168588000
154,BTI,British American Tobacco p.l.c.,70621577216,29.38,1.80%,35730379747
155,WDAY,"Workday, Inc.",70305161216,272.38,1.89%,6983013000
156,CDNS,"Cadence Design Systems, Inc.",70104940544,259.47,0.69%,3921240000
157,NTES,"NetEase, Inc.",69866037248,104.76,2.15%,13986536864
158,EOG,"EOG Resources, Inc.",69832212480,118.35,-1.17%,24548000000
159,WM,"Waste Management, Inc.",69623685120,172.84,-0.64%,20144000000
160,SLB,SLB,69223170048,48.46,-1.36%,32023000000
161,STLA,Stellantis N.V.,69205942272,22.55,0.04%,208748351648
162,CP,Canadian Pacific Railway Limited,68933459968,73.26,-0.96%,8326666667
163,GD,General Dynamics Corporation,68756398080,251.49,-0.18%,41455000000
164,SAN,"Banco Santander, S.A.",68380409856,4.15,-0.95%,61081239951
165,MCO,Moody's Corporation,68192071680,372.63,-0.21%,5726000000
166,CNQ,Canadian Natural Resources Limited,68072022016,61.27,-0.92%,26743703704
167,BDX,"Becton, Dickinson and Company",67795046400,233.54,0.45%,19372000000
168,HCA,"HCA Healthcare, Inc.",67554959360,253.95,0.62%,63162000000
169,FDX,FedEx Corporation,67406577664,267.63,0.16%,88594000000
170,SMFG,"Sumitomo Mitsui Financial Group, Inc.",67278888960,9.96,3.53%,28630483384
171,ANET,"Arista Networks, Inc.",66872500224,215.29,0.89%,5595283000
172,RACE,Ferrari N.V.,66694418432,363.75,0.57%,6185864894
173,CSX,CSX Corporation,66239881216,33.50,-0.06%,14707000000
174,ICE,"Intercontinental Exchange, Inc.",64579833856,112.53,-0.49%,9614000000
175,VALE,Vale S.A.,64423026688,14.83,0.95%,43839000000
176,TRI,Thomson Reuters Corporation,64347742208,141.54,0.23%,6744000000
177,AON,Aon plc,63985025024,321.69,0.66%,13131000000
178,CL,Colgate-Palmolive Company,63786631168,77.62,0.19%,19136000000
179,PYPL,"PayPal Holdings, Inc.",63270649856,58.48,-1.76%,29128000000
180,ITUB,Itaú Unibanco Holding S.A.,62988775424,6.46,1.74%,21846880907
181,BMO,Bank of Montreal,61903855616,86.07,0.27%,22772992701
182,USB,U.S. Bancorp,61875580928,39.73,1.66%,24663000000
183,TGT,Target Corporation,61576482816,135.19,1.36%,106888000000
184,SNOW,Snowflake Inc.,61301473280,187.31,1.54%,2620802000
185,MCK,McKesson Corporation,60887838720,455.66,-0.42%,291098000000
186,CMG,"Chipotle Mexican Grill, Inc.",60654161920,2226.25,0.73%,9535928000
187,MAR,"Marriott International, Inc.",60142043136,208.03,1.59%,23541000000
188,HUM,Humana Inc.,59561099264,480.30,-0.72%,102351000000
189,BN,Brookfield Corporation,59264794624,35.84,0.48%,95619000000
190,LULU,Lululemon Athletica Inc.,58293645312,464.67,0.87%,9186013000
191,ORLY,"O'Reilly Automotive, Inc.",58286600192,953.71,-3.20%,15624728000
192,APD,"Air Products and Chemicals, Inc.",58058506240,262.01,0.28%,12600000000
193,AMX,"América Móvil, SAB de CV",57713532928,18.36,-1.55%,47524631143
194,CRWD,"CrowdStrike Holdings, Inc.",57495515136,240.17,0.31%,2847587000
195,ROP,"Roper Technologies, Inc.",57107038208,534.80,-0.11%,5995200000
196,EPD,Enterprise Products Partners L.P.,57011847168,26.25,-1.13%,48743000000
197,MMM,3M Company,56772665344,103.28,0.48%,32747000000
198,MNST,Monster Beverage Corporation,56495890432,54.30,,6922850000
199,CTAS,Cintas Corporation,56114421760,553.75,0.51%,8991645000
200,PH,Parker-Hannifin Corporation,55799697408,433.77,-0.13%,19679907000
201,PNC,"The PNC Financial Services Group, Inc.",55512801280,139.77,0.29%,21892000000
202,APH,Amphenol Corporation,55182135296,92.48,0.27%,12466300000
203,SCCO,Southern Copper Corporation,54999044096,71.67,0.56%,10420500000
204,PSX,Phillips 66,54994501632,124.62,-0.30%,152058000000
205,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",54652821504,9.13,-0.76%,34404661054
206,MPC,Marathon Petroleum Corporation,54365011968,141.58,-1.12%,153577000000
207,ECL,Ecolab Inc.,54262140928,192.42,1.11%,15053000000
208,BNS,The Bank of Nova Scotia,53723291648,44.24,0.73%,23581751825
209,CHTR,"Charter Communications, Inc.",53544083456,368.66,1.85%,54570000000
210,MSI,"Motorola Solutions, Inc.",53519699968,323.36,0.28%,9837000000
211,E,Eni S.p.A.,53458345984,31.85,-0.16%,142220212766
212,TDG,TransDigm Group Incorporated,53295689728,972.96,0.98%,6585000000
213,NXPI,NXP Semiconductors N.V.,53078556672,211.70,2.81%,13166000000
214,TT,Trane Technologies plc,52445061120,231.35,0.38%,17327200000
215,AJG,Arthur J. Gallagher & Co.,52358418432,241.05,-0.60%,9668300000
216,FCX,Freeport-McMoRan Inc.,51981774848,36.37,0.33%,22708000000
217,PXD,Pioneer Natural Resources Company,51810930688,220.60,-0.66%,19253000000
218,NSC,Norfolk Southern Corporation,51577098240,227.39,-0.30%,12320000000
219,APO,"Apollo Global Management, Inc.",51332513792,90.80,0.25%,26440000000
220,RSG,"Republic Services, Inc.",50923999232,161.59,-0.16%,14662700000
221,CCI,Crown Castle Inc.,50780643328,117.64,0.47%,7071000000
222,ARM,Arm Holdings Limited,50637045760,62.44,2.26%,2855000000
223,HMC,"Honda Motor Co., Ltd.",50298179584,30.60,-0.58%,124707801083
224,NGG,National Grid plc,50225770496,67.81,1.01%,26095180723
225,EMR,Emerson Electric Co.,49997766656,88.72,1.16%,15165000000
226,OXY,Occidental Petroleum Corporation,49723355136,56.40,0.18%,29715000000
227,ING,ING Groep N.V.,49551753216,14.42,1.48%,22205431544
228,PCAR,PACCAR Inc,49545760768,95.52,0.84%,34180300000
229,SPG,"Simon Property Group, Inc.",49422458880,131.35,1.17%,5531295000
230,DELL,Dell Technologies Inc.,48851910656,68.59,1.42%,91146000000
231,TEAM,Atlassian Corporation Plc,48513802240,187.85,-0.46%,3705030000
232,WELL,Welltower Inc.,48384258048,87.51,0.10%,6406751000
233,AFL,Aflac Incorporated,47761383424,82.00,0.33%,18932000000
234,EL,The Estée Lauder Companies Inc.,47722475520,135.84,1.86%,15498000000
235,PSA,Public Storage,47547265024,273.09,1.27%,4446364000
236,MET,"MetLife, Inc.",47031672832,63.46,-0.13%,64193000000
237,ADSK,"Autodesk, Inc.",46965039104,223.84,1.95%,5346000000
238,AZO,"AutoZone, Inc.",46964203520,2632.70,-2.87%,17662418000
239,BSBR,Banco Santander (Brasil) S.A.,46331445248,6.17,-0.16%,66474533000
240,SRE,Sempra,46180085760,73.04,-0.01%,16684000000
241,ABEV,Ambev S.A.,46079700992,2.84,0.35%,15067826087
242,MCHP,Microchip Technology Incorporated,46010466304,85.81,2.62%,8944800000
243,AIG,"American International Group, Inc.",45892358144,65.41,0.06%,48562000000
244,CPRT,"Copart, Inc.",45803020288,47.68,-0.04%,3996562000
245,NEM,Newmont Corporation,45742325760,39.73,0.10%,11055000000
246,ET,Energy Transfer LP,45328113664,13.33,-1.11%,78555000000
247,CRH,CRH plc,45196251136,63.99,1.65%,33861000000
248,GM,General Motors Company,45069586432,33.51,1.82%,171970000000
249,DXCM,"DexCom, Inc.",45014630400,118.89,0.81%,3403000000
250,KDP,Keurig Dr Pepper Inc.,45012561920,32.36,0.53%,14750000000
251,PAYX,"Paychex, Inc.",44944486400,124.83,0.33%,5086900000
252,KHC,The Kraft Heinz Company,44897497088,36.50,0.83%,27161000000
253,ROST,"Ross Stores, Inc.",44845031424,131.66,-0.58%,19568671000
254,DHI,"D.R. Horton, Inc.",44516712448,136.34,2.04%,35460400000
255,CARR,Carrier Global Corporation,44259729408,52.89,-0.23%,22101000000
256,TAK,Takeda Pharmaceutical Company Limited,44201230336,14.08,1.00%,28108349120
257,STM,ST Microelectronics,44066463744,47.76,0.61%,17428000000
258,TFC,Truist Financial Corporation,44064456704,33.96,2.78%,21896000000
259,MFG,"Mizuho Financial Group, Inc.",43879878656,3.46,3.90%,15128980363
260,PCG,PG&E Corporation,43875549184,17.37,0.75%,22757000000
261,WMB,"The Williams Companies, Inc.",43599360000,34.93,-1.31%,11053000000
262,MRVL,"Marvell Technology, Inc.",43596734464,52.19,3.49%,5499700000
263,COF,Capital One Financial Corporation,43328962560,115.38,1.42%,26336000000
264,IDXX,"IDEXX Laboratories, Inc.",43316441088,523.08,0.29%,3587920000
265,STZ,"Constellation Brands, Inc.",43184578560,235.86,0.32%,9786000000
266,HLT,Hilton Worldwide Holdings Inc.,43097305088,170.43,1.41%,10070000000
267,F,Ford Motor Company,42791534592,10.82,1.22%,174228000000
268,JD,"JD.com, Inc.",42345717760,26.93,1.24%,147734662999
269,AEP,"American Electric Power Company, Inc.",42259394560,80.20,-0.20%,19286200000
270,EW,Edwards Lifesciences Corporation,42145681408,68.26,-1.77%,5819000000
271,SQ,"Block, Inc.",42080722944,68.47,0.69%,20793483000
272,DLR,"Digital Realty Trust, Inc.",41908162560,134.03,-1.07%,5340529000
273,HES,Hess Corporation,41859629056,132.23,-2.97%,10664000000
274,TRV,"The Travelers Companies, Inc.",41826709504,181.91,-0.12%,40073000000
275,VLO,Valero Energy Corporation,41783795712,122.07,-0.54%,151098000000
276,KMB,Kimberly-Clark Corporation,41380872192,121.49,0.18%,20425000000
277,LNG,"Cheniere Energy, Inc.",41158553600,171.83,-0.53%,24656000000
278,MSCI,MSCI Inc.,40740667392,508.44,-1.29%,2415022000
279,SGEN,Seagen Inc.,40713478144,218.33,1.17%,2300351000
280,TEL,TE Connectivity Ltd.,40712028160,132.37,0.87%,16034000000
281,ODFL,"Old Dominion Freight Line, Inc.",40687521792,374.99,0.56%,5862261000
282,BIDU,"Baidu, Inc.",40284143616,115.78,2.12%,18256396149
283,NUE,Nucor Corporation,40068071424,163.22,0.60%,35732926000
284,OKE,"ONEOK, Inc.",39887265792,67.27,-1.75%,17474031000
285,GWW,"W.W. Grainger, Inc.",39832936448,807.40,0.61%,16283000000
286,FTNT,"Fortinet, Inc.",39800778752,51.32,-0.98%,5172700000
287,CNC,Centene Corporation,39744552960,74.24,-0.22%,150100000000
288,HLN,Haleon plc,39616348160,8.22,1.23%,15216455696
289,O,Realty Income Corporation,39605878784,54.69,-0.04%,3891358000
290,CM,Canadian Imperial Bank of Commerce,39540621312,42.65,0.45%,17024087591
291,D,"Dominion Energy, Inc.",39521923072,47.24,-0.04%,17769000000
292,DASH,"DoorDash, Inc.",39410745344,98.97,2.19%,8150000000
293,IQV,IQVIA Holdings Inc.,39345172480,214.99,-0.28%,14855000000
294,TRP,TC Energy Corporation,39312670720,38.06,0.40%,11658518519
295,SU,Suncor Energy Inc.,39200256000,30.24,-0.10%,37380000000
296,EXC,Exelon Corporation,39160492032,39.34,-0.18%,21027000000
297,ADM,Archer-Daniels-Midland Company,39038156800,73.83,0.87%,96896000000
298,KMI,"Kinder Morgan, Inc.",38965157888,17.50,-0.17%,15875000000
299,NU,Nu Holdings Ltd.,38704971776,8.14,-0.12%,7074601000
300,HSY,The Hershey Company,38691020800,189.06,-0.07%,11160219000
301,COR,Cencora,38515761152,200.21,-0.23%,262173411000
302,GIS,"General Mills, Inc.",38300471296,66.39,0.76%,20281300000
303,LEN,Lennar Corporation,38108684288,137.47,1.55%,33439550000
304,DDOG,"Datadog, Inc.",37984124928,115.00,0.60%,2008109000
305,SPOT,Spotify Technology S.A.,37815988224,195.82,1.05%,13555319149
306,LHX,"L3Harris Technologies, Inc.",37782904832,196.68,-1.14%,18657000000
307,JCI,Johnson Controls International plc,37669318656,55.50,0.84%,26612000000
308,A,"Agilent Technologies, Inc.",37657579520,128.68,-0.18%,6833000000
309,WDS,Woodside Energy Group Ltd,37530120192,19.24,0.10%,18407000000
310,PLTR,Palantir Technologies Inc.,37443350528,17.22,0.53%,2125286000
311,SYY,Sysco Corporation,37187350528,74.18,1.55%,76818299000
312,BCE,BCE Inc.,37124333568,40.76,0.17%,18251111111
313,KVUE,Kenvue Inc.,37091422208,20.81,7.32%,15545000000
314,EA,Electronic Arts Inc.,36885999616,135.55,-1.16%,7593000000
315,LYG,Lloyds Banking Group plc,36638679040,2.28,0.88%,6997590361
316,BK,The Bank of New York Mellon Corporation,36546351104,48.43,1.91%,17109000000
317,ALL,The Allstate Corporation,36241035264,139.02,0.38%,55909000000
318,AME,"AMETEK, Inc.",36115427328,155.91,-0.20%,6491732000
319,MFC,Manulife Financial Corporation,35866378240,19.85,0.61%,29680000000
320,WCN,"Waste Connections, Inc.",35863904256,138.39,-0.58%,7855643000
321,DOW,Dow Inc.,35848400896,51.07,0.35%,45860000000
322,LI,Li Auto Inc.,35756191744,35.50,-1.22%,13723398762
323,MPLX,MPLX LP,35743555584,35.87,-0.33%,10977000000
324,ALC,Alcon Inc.,35568570368,71.90,-0.04%,9274000000
325,AMP,"Ameriprise Financial, Inc.",35554455552,352.73,0.74%,15160000000
326,FERG,Ferguson plc,35544412160,178.66,2.28%,29511000000
327,FAST,Fastenal Company,35513507840,62.36,0.37%,7283700000
328,OTIS,Otis Worldwide Corporation,35388624896,86.66,0.24%,14028000000
329,BBD,Banco Bradesco S.A.,35385315328,3.33,0.60%,15475785066
330,PRU,"Prudential Financial, Inc.",35352731648,99.66,1.77%,52229000000
331,CEG,Constellation Energy Corporation,35301294080,110.53,-1.86%,26455000000
332,CTSH,Cognizant Technology Solutions Corporation,35159080960,70.42,0.43%,19434000000
333,FIS,"Fidelity National Information Services, Inc.",34932854784,58.92,0.82%,13459000000
334,YUM,"Yum! Brands, Inc.",34854899712,124.27,-0.43%,7059000000
335,IT,"Gartner, Inc.",34829598720,446.00,0.90%,5825555000
336,CSGP,"CoStar Group, Inc.",34216736768,82.58,-1.44%,2388286000
337,XEL,Xcel Energy Inc.,34196037632,61.55,-0.68%,14817000000
338,VRSK,"Verisk Analytics, Inc.",34051649536,233.75,-0.47%,2234100000
339,BIIB,Biogen Inc.,33887295488,239.12,2.24%,9993300000
340,LVS,Las Vegas Sands Corp.,33773535232,44.85,0.04%,8574000000
341,PPG,"PPG Industries, Inc.",33648658432,144.98,1.60%,18081000000
342,TTD,"The Trade Desk, Inc.",33622114304,68.78,0.69%,1831060000
343,IBKR,"Interactive Brokers Group, Inc.",33381511168,80.81,0.90%,4177000000
344,ARES,Ares Management Corporation,33341390848,108.30,0.35%,3515627000
345,ON,ON Semiconductor Corporation,32608143360,75.84,3.27%,8338500000
346,CMI,Cummins Inc.,32595679232,230.73,0.04%,33292000000
347,ORAN,Orange S.A.,32593680384,12.00,,46245744681
348,COIN,"Coinbase Global, Inc.",32566163456,136.19,1.16%,2783696000
349,QSR,Restaurant Brands International Inc.,32514123776,72.73,-0.85%,6891000000
350,MBLY,Mobileye Global Inc.,32423272448,40.22,1.18%,2007000000
351,URI,"United Rentals, Inc.",32293771264,484.02,1.59%,13900000000
352,BKR,Baker Hughes Company,32281509888,31.73,-0.41%,24577000000
353,NDAQ,"Nasdaq, Inc.",32217724928,54.13,-2.68%,5999000000
354,KR,The Kroger Co.,32020348928,44.80,0.58%,147798000000
355,ROK,"Rockwell Automation, Inc.",31891705856,277.89,-0.08%,9058000000
356,GEHC,GE HealthCare Technologies Inc.,31683366912,67.39,-0.97%,19284000000
357,ED,"Consolidated Edison, Inc.",31639412736,92.44,0.86%,15250000000
358,PEG,Public Service Enterprise Group Incorporated,31488460800,62.42,-0.32%,11771000000
359,VICI,VICI Properties Inc.,31284187136,30.43,0.63%,3450029000
360,HAL,Halliburton Company,31201513472,34.42,-1.26%,22861000000
361,CTVA,"Corteva, Inc.",31113787392,44.50,0.79%,17344000000
362,GPN,Global Payments Inc.,31103463424,119.87,0.35%,9473591000
363,MRNA,"Moderna, Inc.",30731489280,79.95,-0.81%,9121000000
364,IMO,Imperial Oil Limited,30569428992,53.57,-2.56%,38750370370
365,CVE,Cenovus Energy Inc.,30540312576,16.06,-0.93%,39357777778
366,GOLD,Barrick Gold Corporation,30482251776,17.22,-0.81%,11112000000
367,PUK,Prudential plc,30398861312,22.09,0.09%,10195000000
368,DD,"DuPont de Nemours, Inc.",30373863424,70.72,0.13%,12274000000
369,CHT,"Chunghwa Telecom Co., Ltd.",30361397248,38.20,-0.34%,6841181444
370,RCL,Royal Caribbean Cruises Ltd.,30279290880,119.49,1.12%,13172573000
371,LYB,LyondellBasell Industries N.V.,29980778496,92.18,-0.27%,41384000000
372,EXR,Extra Space Storage Inc.,29850376192,137.11,0.36%,2269188000
373,ACGL,Arch Capital Group Ltd.,29816442880,78.34,-2.04%,12730885000
